COU,Pays,IND,Indicateur,SEX,Sexe,AGE,Age Group,TIME,Temps,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
PRT,Portugal,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",WOMEN,Femme,1564,15-64,2011,2011,PC,Pourcentage,0,Unités,,,56.0,,
DNK,Danemark,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",WOMEN,Femme,1564,15-64,1996,1996,PC,Pourcentage,0,Unités,,,54.4,,
IRL,Irlande,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",WOMEN,Femme,1564,15-64,1999,1999,PC,Pourcentage,0,Unités,,,44.1,,
USA,États-Unis,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",WOMEN,Femme,1564,15-64,2001,2001,PC,Pourcentage,0,Unités,,,60.9,,
ITA,Italie,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",WOMEN,Femme,1564,15-64,2005,2005,PC,Pourcentage,0,Unités,,,38.6,,
GBR,Royaume-Uni,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",MEN,Homme,1564,15-64,2007,2007,PC,Pourcentage,0,Unités,,,82.2,,
FIN,Finlande,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",WOMEN,Femme,1564,15-64,2002,2002,PC,Pourcentage,0,Unités,,,59.4,,
FIN,Finlande,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",MEN,Homme,1564,15-64,2012,2012,PC,Pourcentage,0,Unités,,,69.4,,
FRA,France,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",WOMEN,Femme,1564,15-64,2005,2005,PC,Pourcentage,0,Unités,,,50.2,,
CHL,Chili,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",WOMEN,Femme,1564,15-64,1998,1998,PC,Pourcentage,0,Unités,,,41.2,,
NOR,Norvège,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",MEN,Homme,1564,15-64,2012,2012,PC,Pourcentage,0,Unités,,,71.5,,
SVN,Slovénie,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",MEN,Homme,1564,15-64,2002,2002,PC,Pourcentage,0,Unités,,,72.3,,
BRA,Brésil,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",MEN,Homme,1564,15-64,2001,2001,PC,Pourcentage,0,Unités,,,87.8,,
CHE,Suisse,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",MEN,Homme,1564,15-64,2012,2012,PC,Pourcentage,0,Unités,,,84.4,,
POL,Pologne,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",MEN,Homme,1564,15-64,2001,2001,PC,Pourcentage,0,Unités,,,63.9,,
AUS,Australie,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",WOMEN,Femme,1564,15-64,2012,2012,PC,Pourcentage,0,Unités,,,51.8,,
DEU,Allemagne,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",WOMEN,Femme,1564,15-64,2011,2011,PC,Pourcentage,0,Unités,,,51.5,,
NLD,Pays-Bas,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",MEN,Homme,1564,15-64,1999,1999,PC,Pourcentage,0,Unités,,,75.2,,
CHE,Suisse,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",WOMEN,Femme,1564,15-64,1999,1999,PC,Pourcentage,0,Unités,,,49.9,,
IRL,Irlande,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",MEN,Homme,1564,15-64,1998,1998,PC,Pourcentage,0,Unités,,,80.6,,
POL,Pologne,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",WOMEN,Femme,1564,15-64,2005,2005,PC,Pourcentage,0,Unités,,,44.7,,
AUS,Australie,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",MEN,Homme,1564,15-64,2011,2011,PC,Pourcentage,0,Unités,,,80.2,,
IRL,Irlande,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",MEN,Homme,1564,15-64,2012,2012,PC,Pourcentage,0,Unités,,,61.8,,
CHL,Chili,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",MEN,Homme,1564,15-64,1997,1997,PC,Pourcentage,0,Unités,,,90.5,,
GRC,Grèce,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",MEN,Homme,1564,15-64,2000,2000,PC,Pourcentage,0,Unités,,,80.3,,
PRT,Portugal,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",MEN,Homme,1564,15-64,2007,2007,PC,Pourcentage,0,Unités,,,74.8,,
OAVG,Moyenne OCDE,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",MEN,Homme,1564,15-64,2002,2002,PC,Pourcentage,0,Unités,,,78.3,,
IRL,Irlande,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",WOMEN,Femme,1564,15-64,2002,2002,PC,Pourcentage,0,Unités,,,46.5,,
BEL,Belgique,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",MEN,Homme,1564,15-64,2010,2010,PC,Pourcentage,0,Unités,,,68.2,,
OAVG,Moyenne OCDE,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",MEN,Homme,1564,15-64,2005,2005,PC,Pourcentage,0,Unités,,,78.2,,
BRA,Brésil,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",WOMEN,Femme,1564,15-64,2011,2011,PC,Pourcentage,0,Unités,,,49.8,,
SVK,République slovaque,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",WOMEN,Femme,1564,15-64,2011,2011,PC,Pourcentage,0,Unités,,,51.6,,
EST,Estonie,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",MEN,Homme,1564,15-64,2007,2007,PC,Pourcentage,0,Unités,,,75.1,,
MEX,Mexique,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",MEN,Homme,1564,15-64,1996,1996,PC,Pourcentage,0,Unités,,,96.9,,
FRA,France,EMP7,"Taux d'emploi équivalent plein-temps, par sexe",MEN,Homme,1564,15-64,1998,1998,PC,Pourcentage,0,Unités,,,68.1,,
