COU,Pays,IND,Indicateur,SEX,Sexe,AGE,Age Group,TIME,Temps,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
BEL,Belgique,EMP11,Part des femmes au conseil d'administration des plus grandes sociétés cotées en bourse,WOMEN,Femme,TOTAL,Total,2009,2009,PC,Pourcentage,0,Unités,,,7.6,,
DNK,Danemark,EMP11,Part des femmes au conseil d'administration des plus grandes sociétés cotées en bourse,WOMEN,Femme,TOTAL,Total,2009,2009,PC,Pourcentage,0,Unités,,,17.6,,
FIN,Finlande,EMP11,Part des femmes au conseil d'administration des plus grandes sociétés cotées en bourse,WOMEN,Femme,TOTAL,Total,2009,2009,PC,Pourcentage,0,Unités,,,23.6,,
FRA,France,EMP11,Part des femmes au conseil d'administration des plus grandes sociétés cotées en bourse,WOMEN,Femme,TOTAL,Total,2009,2009,PC,Pourcentage,0,Unités,,,10.2,,
DEU,Allemagne,EMP11,Part des femmes au conseil d'administration des plus grandes sociétés cotées en bourse,WOMEN,Femme,TOTAL,Total,2009,2009,PC,Pourcentage,0,Unités,,,12.9,,
GRC,Grèce,EMP11,Part des femmes au conseil d'administration des plus grandes sociétés cotées en bourse,WOMEN,Femme,TOTAL,Total,2009,2009,PC,Pourcentage,0,Unités,,,5.1,,
IRL,Irlande,EMP11,Part des femmes au conseil d'administration des plus grandes sociétés cotées en bourse,WOMEN,Femme,TOTAL,Total,2009,2009,PC,Pourcentage,0,Unités,,,8.3,,
ITA,Italie,EMP11,Part des femmes au conseil d'administration des plus grandes sociétés cotées en bourse,WOMEN,Femme,TOTAL,Total,2009,2009,PC,Pourcentage,0,Unités,,,4.0,,
LUX,Luxembourg,EMP11,Part des femmes au conseil d'administration des plus grandes sociétés cotées en bourse,WOMEN,Femme,TOTAL,Total,2009,2009,PC,Pourcentage,0,Unités,,,2.7,,
NLD,Pays-Bas,EMP11,Part des femmes au conseil d'administration des plus grandes sociétés cotées en bourse,WOMEN,Femme,TOTAL,Total,2009,2009,PC,Pourcentage,0,Unités,,,15.0,,
NOR,Norvège,EMP11,Part des femmes au conseil d'administration des plus grandes sociétés cotées en bourse,WOMEN,Femme,TOTAL,Total,2009,2009,PC,Pourcentage,0,Unités,,,41.6,,
POL,Pologne,EMP11,Part des femmes au conseil d'administration des plus grandes sociétés cotées en bourse,WOMEN,Femme,TOTAL,Total,2009,2009,PC,Pourcentage,0,Unités,,,9.5,,
PRT,Portugal,EMP11,Part des femmes au conseil d'administration des plus grandes sociétés cotées en bourse,WOMEN,Femme,TOTAL,Total,2009,2009,PC,Pourcentage,0,Unités,,,3.7,,
ESP,Espagne,EMP11,Part des femmes au conseil d'administration des plus grandes sociétés cotées en bourse,WOMEN,Femme,TOTAL,Total,2009,2009,PC,Pourcentage,0,Unités,,,9.6,,
SWE,Suède,EMP11,Part des femmes au conseil d'administration des plus grandes sociétés cotées en bourse,WOMEN,Femme,TOTAL,Total,2009,2009,PC,Pourcentage,0,Unités,,,26.8,,
TUR,Turquie,EMP11,Part des femmes au conseil d'administration des plus grandes sociétés cotées en bourse,WOMEN,Femme,TOTAL,Total,2009,2009,PC,Pourcentage,0,Unités,,,9.0,,
GBR,Royaume-Uni,EMP11,Part des femmes au conseil d'administration des plus grandes sociétés cotées en bourse,WOMEN,Femme,TOTAL,Total,2009,2009,PC,Pourcentage,0,Unités,,,12.3,,
SVN,Slovénie,EMP11,Part des femmes au conseil d'administration des plus grandes sociétés cotées en bourse,WOMEN,Femme,TOTAL,Total,2013,2013,PC,Pourcentage,0,Unités,,,21.6,,
DNK,Danemark,EMP11,Part des femmes au conseil d'administration des plus grandes sociétés cotées en bourse,WOMEN,Femme,TOTAL,Total,2013,2013,PC,Pourcentage,0,Unités,,,22.9,,
ESP,Espagne,EMP11,Part des femmes au conseil d'administration des plus grandes sociétés cotées en bourse,WOMEN,Femme,TOTAL,Total,2013,2013,PC,Pourcentage,0,Unités,,,14.8,,
