annee,pays,nom,femmes,hommes
2016,Québec,"Professions de la culture et des communications, part des femmes",79165,67390
2016,Québec,"Population active expérimentée, part des femmes",1990920,2163095
2016,Québec,"Direction de bibliothèques, d'archives, de musées et de galeries d'art, part des femmes",600,370
2016,Québec,"Direction dans l'édition, le cinéma, la radiotélédiffusion et les arts de la scène, part des femmes",875,945
2016,Québec,"Architectes, part des femmes",1920,2885
2016,Québec,"Architectes paysagistes, part des femmes",285,215
2016,Québec,"Technologues et poste technique en architecture, part des femmes",1385,1800
2016,Québec,"Designers industriels, part des femmes",1025,2245
2016,Québec,"Design graphique et illustration, part des femmes",6950,7500
2016,Québec,"Design et décoration d'intérieur, part des femmes",5105,1170
2016,Québec,"Ensembliers de théâtre, dessin de mode, conception d'expositions et autres conceptions artistiques, part des femmes",2925,1855
2016,Québec,"Artisanat, part des femmes",1485,1155
2016,Québec,"Patronniers de produits textiles, d'articles en cuir et en fourrure, part des femmes",470,100
2016,Québec,"Bibliothécaires, part des femmes",1100,415
2016,Québec,"Restaurateurs et conservateurs, part des femmes",185,95
2016,Québec,"Archivistes, part des femmes",555,240
2016,Québec,"Personnel technique dans les bibliothèques et les services d'archives publiques, part des femmes",1545,305
2016,Québec,"Personnel technique des musées et des galeries d'art, part des femmes",765,680
2016,Québec,"Commis et assistants dans les bibliothèques, part des femmes",2550,545
2016,Québec,"Auteurs, rédacteurs et écrivains, part des femmes",2950,2535
2016,Québec,"Réviseurs, rédacteurs-réviseurs et chefs du service des nouvelles, part des femmes",3015,1445
2016,Québec,"Journalistes, part des femmes",1860,1975
2016,Québec,"Professionnels en publicité, en marketing et en relations publiques, part des femmes",15830,7100
2016,Québec,"Traducteurs, terminologues et interprètes, part des femmes",6025,2605
2016,Québec,"Producteurs, réalisateurs, chorégraphes et personnel assimilé, part des femmes",3080,4970
2016,Québec,"Chefs d'orchestre, compositeurs et arrangeurs, part des femmes",270,930
2016,Québec,"Musiciens et chanteurs, part des femmes",2955,3805
2016,Québec,"Danseurs, part des femmes",1655,320
2016,Québec,"Acteurs et comédiens, part des femmes",1050,1145
2016,Québec,"Acteurs et comédiens 15-34 ans, part des femmes ",425,390
2016,Québec,"Acteurs et comédiens 35-44 ans, part des femmes",285,295
2016,Québec,"Acteurs et comédiens 45-54 ans, part des femmes",185,250
2016,Québec,"Acteurs et comédiens 55 ans et plus, part des femmes",165,210
2016,Québec,"Peintres, sculpteurs et autres artistes des arts visuels, part de femmes",2605,2365
2016,Québec,"Photographes, part des femmes",1460,1860
2016,Québec,"Photographes 15-34 ans, part des femmes",780,440
2016,Québec,"Photographes 35-44 ans, part des femmes",375,545
2016,Québec,"Cadreurs de films et cadreurs vidéo, part des femmes",105,1095
2016,Québec,"Techniciens en graphisme, part des femmes",2390,3350
2016,Québec,"Techniciens en radiotélédiffusion, part des femmes",70,255
2016,Québec,"Techniciens en enregistrement audio et vidéo, part des femmes",650,3590
2016,Québec,"Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène, part des femmes",1510,2560
2016,Québec,"Personnel de soutien du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène, part des femmes",675,1260
2016,Québec,"Personnel de soutien du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène 15-34 ans, part des femmes",350,520
2016,Québec,"Personnel de soutien du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène 35-44 ans, part des femmes",165,350
2016,Québec,"Annonceurs et autres communicateurs de la radio et de la télévision, part des femmes",535,945
2016,Québec,"Autres artistes du spectacle, part des femmes",755,750
