indicator,fr
Taux d'activité,"Taux d'activité, part des femmes par rapport à celle des hommes"
Taux d'emploi,"Taux d'emploi, part des femmes par rapport à celle des hommes"
Taux de chômage,Taux de chômage part des femmes par rapport à celle des hommes
"Revenu annuel médian selon le sexe, population de 15 ans et plus",Revenu annuel médian des femmes par rapport à celui des hommes
Revenu moyen tiré de la danse,"Danse, revenu moyen des femmes par rapport à celui des hommes"
Revenus personnels moyen artistes arts visuels,"Arts visuels, revenu personnel moyen des femmes par rapport à celui des hommes"
Revenus personnels médian artistes arts visuels,"Arts visuels, revenu personnel médian des femmes par rapport à celui des hommes"
"Revenu moyen, revenu après impôt, ménages","Revenu moyen après impôt des personnes en ménage, femmes par rapport aux hommes"
"Revenu moyen, revenu total, ménages","Revenu moyen des personnes en ménages, femmes par rapport aux hommes"
"Revenu moyen, revenu après impôt, Particuliers",Revenu moyen après impôt des femmes par rapport aux hommes
"Revenu moyen, revenu total, Particuliers",Revenu moyen des femmes par rapport aux hommes
"Revenu médian, revenu après impôt, particuliers",Revenu médian après impôt des femmes par rapport aux hommes
"Revenu médian, revenu total, Particuliers",Revenu médian des femmes par rapport aux hommes
"Revenu médian, revenu total, Particuliers ",Revenu médian des femmes par rapport aux hommes
"Danse et chorégraphie, part des femmes","Danse et chorégraphie, part des femmes"
"Artistes en arts visuels, part des femmes","Artistes en arts visuels, part des femmes"
"Directeurs, édition, cinéma, radiotélédiffusion et arts de la scène, part des femmes","Directeur·trices, édition, cinéma, radiotélédiffusion et arts de la scène, part des femmes"
"Producteurs, réalisateurs, chorégraphes et personnel assimilé, part des femmes","Producteur·trices, réalisateur·trices, chorégraphes et personnel assimilé, part des femmes"
"Acteurs et comédiens, part des femmes","Acteur·trices et comédien·nes, part des femmes"
"Cadreurs de films et cadreurs de vidéos, part des femmes","Cadreur·ses de films et cadreur·ses vidéos, part des femmes"
"Techniciens en enregistrement audio et vidéo, part des femmes","Technicien·nes en enregistrement audio et vidéo, part des femmes"
"Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène, part des femmes","Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène, part des femmes"
"Personnel de soutien du cinéma, de la radiotélédiffusion et des arts de la scène, part des femmes","Personnel de soutien du cinéma, de la radiotélédiffusion et des arts de la scène, part des femmes"
"Professions culturelles, part des femmes","Professions culturelles, part des femmes"
"Professions de la culture et des communications, part des femmes","Professions de la culture et des communications, part des femmes"
"Population active expérimentée, part des femmes","Population active expérimentée, part des femmes"
"Direction de bibliothèques, d'archives, de musées et de galeries d'art, part des femmes","Direction de bibliothèques, d'archives, de musées et de galeries d'art, part des femmes"
"Direction dans l'édition, le cinéma, la radiotélédiffusion et les arts de la scène, part des femmes","Direction dans l'édition, le cinéma, la radiotélédiffusion et les arts de la scène, part des femmes"
"Architectes, part des femmes","Architectes, part des femmes"
"Architectes paysagistes, part des femmes","Architectes paysagistes, part des femmes"
"Technologues et poste technique en architecture, part des femmes","Technologues et poste technique en architecture, part des femmes"
"Designers industriels, part des femmes","Designer·euses industriels, part des femmes"
"Design graphique et illustration, part des femmes","Design graphique et illustration, part des femmes"
"Design et décoration d'intérieur, part des femmes","Design et décoration d'intérieur, part des femmes"
