pays,annee,nom,prevaleur,valeur,femmes,hommes,notes
France,2015,"Victimes de viol et tentative de viol dans les 12 derniers mois, part de femmes",97%,97,0.31,0.01,Tableau 8 - page 35
France,2015,"Victimes parmi les 20 à 34 ans de viol et tentative de viol dans les 12 derniers mois, part de femmes",#VALUE!,#VALUE!,0.45,ns,
France,2015,"Victimes parmi les 20 à 34 ans de viol et tentative de viol dans les 12 derniers mois, part de femmes",#VALUE!,#VALUE!,0.41,ns,
France,2015,"Victimes parmi les 50 à 69 ans de viol et tentative de viol dans les 12 derniers mois, part de femmes",#VALUE!,#VALUE!,0.13,ns,
France,2015,"Victimes d'autres agressions sexuelles dans les 12 derniers mois, part de femmes",75%,75,2.76,0.97,
France,2015,"Victimes parmi les 20 à 34 ans d'autres agressions sexuelles dans les 12 derniers mois, part de femmes",79%,79,5.36,1.47,
France,2015,"Victimes parmi les 20 à 34 ans d'autres agressions sexuelles dans les 12 derniers mois, part de femmes",71%,71,2.6,1.1,
France,2015,"Victimes parmi les 50 à 69 ans d'autres agressions sexuelles dans les 12 derniers mois, part de femmes",70%,70,1.02,0.46,
France,2015,"Victimes d'agressions sexuelles dans les 12 derniers mois, part de femmes",74%,74,2.9,1.03,
France,2015,"Victimes parmi les 20 à 34 ans d'agressions sexuelles dans les 12 derniers mois, part de femmes",79%,79,5.5,1.52,
France,2015,"Victimes parmi les 20 à 34 ans d'agressions sexuelles  dans les 12 derniers mois, part de femmes",72%,72,2.84,1.16,
France,2015,"Victimes parmi les 50 à 69 ans d'agressions sexuelles dans les 12 derniers mois, part de femmes",67%,67,1.06,0.54,
