pays,annee,nom,valeur,prevaleur,femmes,hommes,notes
France,2018," Auteur·trices de morts violentes au sein du couple, part de femmes",80%,80,31,118,Etude nationale sur les morts violentes au sein du couple 2018
France,2017," Auteur·trices de morts violentes au sein du couple, part de femmes",88%,88,16,109,Etude nationale sur les morts violentes au sein du couple 2017
France,2016," Auteur·trices de morts violentes au sein du couple, part de femmes",82%,82,28,120,Etude nationale sur les morts violentes au sein du couple 2016
France,2015," Auteur·trices de morts violentes au sein du couple, part de femmes",86%,86,20,116,Etude nationale sur les morts violentes au sein du couple 2015
France,2014," Auteur·trices de morts violentes au sein du couple, part de femmes",84%,84,28,146,Etude nationale sur les morts violentes au sein du couple 2014
France,2013," Auteur·trices de morts violentes au sein du couple, part de femmes",83%,83,25,121,Etude nationale sur les morts violentes au sein du couple 2014
France,2012," Auteur·trices de morts violentes au sein du couple, part de femmes",85%,85,27,147,Etude nationale sur les morts violentes au sein du couple 2014
France,2011," Auteur·trices de morts violentes au sein du couple, part de femmes",84%,84,24,122,Etude nationale sur les morts violentes au sein du couple 2014
France,2010," Auteur·trices de morts violentes au sein du couple, part de femmes",84%,84,23,120,Etude nationale sur les morts violentes au sein du couple 2014
France,2014,"Victimes d'assassinat au sein du couple, part de femmes",87%,87,35,5,Etude nationale sur les morts violentes au sein du couple 2014
France,2014,"Victimes de meurtre au sein du couple, part de femmes",82%,82,75,16,Etude nationale sur les morts violentes au sein du couple 2014
France,2014,"Victimes de violences volontaires ayant entrainé la mort sans intention de la donner au sein du couple, part de femmes",66%,66,8,4,Etude nationale sur les morts violentes au sein du couple 2014
France,2015,"Victimes d'assassinat au sein du couple, part de femmes",89%,89,34,4,Etude nationale sur les morts violentes au sein du couple 2015
France,2015,"Victimes de meurtre au sein du couple, part de femmes",83%,83,77,15,Etude nationale sur les morts violentes au sein du couple 2015
France,2015,"Victimes de violences volontaires ayant entrainé la mort sans intention de la donner au sein du couple, part de femmes",66%,66,4,2,Etude nationale sur les morts violentes au sein du couple 2015
France,2016,"Victimes d'assassinat au sein du couple, part de femmes",90%,90,29,3,Etude nationale sur les morts violentes au sein du couple 2016
France,2016,"Victimes de meurtre au sein du couple, part de femmes",75%,75,76,25,Etude nationale sur les morts violentes au sein du couple 2016
France,2016,"Victimes de violences volontaires ayant entrainé la mort sans intention de la donner au sein du couple, part de femmes",80%,80,4,1,Etude nationale sur les morts violentes au sein du couple 2016
France,2017,"Victimes d'assassinat au sein du couple, part de femmes",91%,91,22,2,Etude nationale sur les morts violentes au sein du couple 2017
France,2017,"Victimes de meurtre au sein du couple, part de femmes",86%,86,86,13,Etude nationale sur les morts violentes au sein du couple 2017
France,2017,"Victimes de violences volontaires ayant entrainé la mort sans intention de la donner au sein du couple, part de femmes",50%,50,1,1,Etude nationale sur les morts violentes au sein du couple 2017
France,2018,"Victimes d'assassinat au sein du couple, part de femmes",76%,76,26,8,Etude nationale sur les morts violentes au sein du couple 2018
France,2018,"Victimes de meurtre au sein du couple, part de femmes",83%,83,85,17,Etude nationale sur les morts violentes au sein du couple 2018
France,2018,"Victimes de violences volontaires ayant entrainé la mort sans intention de la donner au sein du couple, part de femmes",76%,76,10,3,Etude nationale sur les morts violentes au sein du couple 2018
