pays,annee,nom,prevaleur,valeur,femmes,hommes,notes,doc
France,2017,"Victimes de violences commises par le·la partenaire enregistrées par les services de police et de gendarmerie, part de femmes",88%,88,,,page 1,https://stop-violences-femmes.gouv.fr/IMG/pdf/violences_au_sein_du_couple_et_violences_sexuelles_novembre_2018.pdf
France,2017,"Personnes condamnées pour des faits de violences entre partenaires, part de femmes",4%,4,,,page 1,
France,2017,"Victimes de violences sexuelles, enregistrées par les services de police et de gendarmerie, part de femmes",86%,86,,,page 1,
France,2017,"Personnes condamnées pour violences sexuelles, part de femmes",1%,1,,,page 1,
France,2017,"Personnes tuées par leur (ex)-partenaire, part de femmes",86%,86,130,21,page 5 - tableau 1,
France,2016,"Personnes tuées par leur (ex)-partenaire, part de femmes",78%,78,123,34,page 5 - tableau 1,
France,2015,"Personnes tuées par leur (ex)-partenaire, part de femmes",84%,84,122,22,page 5 - tableau 1,
France,2014,"Personnes tuées par leur (ex)-partenaire, part de femmes",81%,81,134,31,page 5 - tableau 1,
France,2013,"Personnes tuées par leur (ex)-partenaire, part de femmes",81%,81,129,30,page 5 - tableau 1,
France,2012,"Personnes tuées par leur (ex)-partenaire, part de femmes",84%,84,166,31,page 5 - tableau 1,
France,2010,"Personnes tuées par leur (ex)-partenaire, part de femmes",82%,82,157,33,page 5 - tableau 1,
France,2009,"Personnes tuées par leur (ex)-partenaire, part de femmes",90%,90,151,16,page 5 - tableau 1,
France,2008,"Personnes tuées par leur (ex)-partenaire, part de femmes",85%,85,168,28,page 5 - tableau 1,
France,2007,"Personnes tuées par leur (ex)-partenaire, part de femmes",86%,86,179,29,page 5 - tableau 1,
France,2006,"Personnes tuées par leur (ex)-partenaire, part de femmes",83%,83,148,29,page 5 - tableau 1,
France,2017,"Personnes tuées par leur (ex)-partenaire, dont couples officiels, part de femmes",87%,87,109,16,page 5 - tableau 1,
France,2016,"Personnes tuées par leur (ex)-partenaire, dont couples officiels, part de femmes",78%,78,109,29,page 5 - tableau 1,
France,2015,"Personnes tuées par leur (ex)-partenaire, dont couples officiels, part de femmes",84%,84,115,21,page 5 - tableau 1,
France,2014,"Personnes tuées par leur (ex)-partenaire, dont couples officiels, part de femmes",82%,82,118,25,page 5 - tableau 1,
France,2013,"Personnes tuées par leur (ex)-partenaire, dont couples officiels, part de femmes",82%,82,121,25,page 5 - tableau 1,
France,2012,"Personnes tuées par leur (ex)-partenaire, dont couples officiels, part de femmes",85%,85,148,26,page 5 - tableau 1,
France,2010,"Personnes tuées par leur (ex)-partenaire, dont couples officiels, part de femmes",83%,83,146,28,page 5 - tableau 1,
France,2009,"Personnes tuées par leur (ex)-partenaire, dont couples officiels, part de femmes",84%,84,140,25,page 5 - tableau 1,
France,2008,"Personnes tuées par leur (ex)-partenaire, dont couples officiels, part de femmes",85%,85,156,27,page 5 - tableau 1,
France,2007,"Personnes tuées par leur (ex)-partenaire, dont couples officiels, part de femmes",86%,86,166,26,page 5 - tableau 1,
France,2006,"Personnes tuées par leur (ex)-partenaire, dont couples officiels, part de femmes",82%,82,137,29,page 5 - tableau 1,
France,2017,"Personnes tuées par leur (ex)-partenaire, dont couples non-officiels, part de femmes",80%,80,21,5,page 5 - tableau 1,
France,2016,"Personnes tuées par leur (ex)-partenaire, dont couples non-officiels, part de femmes",73%,73,14,5,page 5 - tableau 1,
France,2015,"Personnes tuées par leur (ex)-partenaire, dont couples non-officiels, part de femmes",87%,87,7,1,page 5 - tableau 1,
France,2014,"Personnes tuées par leur (ex)-partenaire, dont couples non-officiels, part de femmes",72%,72,16,6,page 5 - tableau 1,
France,2013,"Personnes tuées par leur (ex)-partenaire, dont couples non-officiels, part de femmes",64%,64,9,5,page 5 - tableau 1,
France,2012,"Personnes tuées par leur (ex)-partenaire, dont couples non-officiels, part de femmes",78%,78,18,5,page 5 - tableau 1,
France,2010,"Personnes tuées par leur (ex)-partenaire, dont couples non-officiels, part de femmes",68%,68,11,5,page 5 - tableau 1,
France,2009,"Personnes tuées par leur (ex)-partenaire, dont couples non-officiels, part de femmes",91%,91,11,1,page 5 - tableau 1,
France,2008,"Personnes tuées par leur (ex)-partenaire, dont couples non-officiels, part de femmes",92%,92,12,1,page 5 - tableau 1,
France,2007,"Personnes tuées par leur (ex)-partenaire, dont couples non-officiels, part de femmes",81%,81,13,3,page 5 - tableau 1,
France,2006,"Personnes tuées par leur (ex)-partenaire, dont couples non-officiels, part de femmes",100%,100,11,0,page 5 - tableau 1,
France,2017,"Victimes de violences commises par le·la partenaire enregistrées par les services de police et de gendarmerie, part de femmes",87%,87,89570,13300,page 9 - tableau 3,
France,2017,"Victimes de viols commis par le·la partenaire enregistrées par les forces de sécurité, part de femmes",98%,98,2370,40,page 9 - tableau 3,
France,2017,"Victimes de violences (hors viols) commises par le·la partenaire, enregistrées par les forces de sécurité, part de femmes",66%,66,20,10,page 9 - tableau 3,
France,2017,"Victimes d'agressions sexuelles commises par le·la partenaire, enregistrées par les forces de sécurité, part de femmes",97%,97,450,10,page 9 - tableau 3,
France,2017,"Victimes de violences volontaires commises par le·la partenaire, enregistrées par les forces de sécurité, part de femmes",87%,87,73880,10770,page 9 - tableau 3,
France,2017,"Victimes de menaces de mort commises par le·la partenaire, enregistrées par les forces de sécurité, part de femmes",90%,90,11190,1190,page 9 - tableau 3,
France,2017,"Victimes de harcèlement et autres menaces commises par le·la partenaire, enregistrées par les forces de sécurité, part de femmes",89%,89,10660,1280,page 9 - tableau 3,
France,2017,"Victimes de violences sexuelles, enregistrées par les forces de sécurité, part de femmes",85%,85,36160,6090,page 19 - tableau 2,
France,2017,"Victimes de viols enregistrées par les forces de sécurité, part de femmes",87%,87,14930,2180,page 19 - tableau 2,
France,2017,"Victimes de viols enregistrées par les forces de sécurité, moins de 15 ans, part de femmes",76%,76,4760,1490,page 19 - tableau 2,
France,2017,"Victimes de viols enregistrées par les forces de sécurité, 15-17 ans, part de femmes",92%,92,2400,190,page 19 - tableau 2,
France,2017,"Victimes de viols enregistrées par les forces de sécurité, majeures, part de femmes",93%,93,7770,500,page 19 - tableau 2,
France,2017,"Victimes d'agressions sexuelles enregistrées par les forces de sécurité, part de femmes",83%,83,19710,3770,page 19 - tableau 2,
France,2017,"Victimes d'agressions sexuelles, enregistrées par les forces de sécurité, moins de 15 ans, part de femmes",75%,75,8610,2720,page 19 - tableau 2,
France,2017,"Victimes d'agressions sexuelles, enregistrées par les forces de sécurité, 15-17 ans, part de femmes",87%,87,2730,380,page 19 - tableau 2,
France,2017,"Victimes d'agressions sexuelles, enregistrées par les forces de sécurité, majeures, part de femmes",92%,92,8370,670,page 19 - tableau 2,
France,2017,"Victimes de harcelement sexuel, enregistrées par les forces de sécurité, part de femmes",91%,91,1520,140,page 19 - tableau 2,
