pays,annee,nom,prevaleur,valeur,femmes,hommes,notes
France,2015,"Victimes de viol au cours de la vie, famille et proches, part de femmes",84%,84,1.41,0.27,Tableau 6 - page 30
France,2015,"Victimes de viol au cours de la vie, études, part de femmes",85%,85,0.16,0.03,
France,2015,"Victimes de viol au cours de la vie, travail, part de femmes",100%,100,0.05,0.00,
France,2015,"Victimes de viol au cours de la vie, couple, part de femmes",96%,96,0.74,0.03,
France,2015,"Victimes de viol au cours de la vie, ex-conjoint·e, part de femmes",100%,100,0.83,0.00,
France,2015,"Victimes de viol au cours de la vie, espaces publics et autres, part de femmes",80%,80,0.79,0.20,
France,2015,"Victimes de viol au cours de la vie, part de femmes",88%,88,3.26,0.47,
France,2015,"Victimes de tentatives de viol au cours de la vie, famille et proches, part de femmes",79%,79,0.97,0.27,
France,2015,"Victimes de tentatives de viol au cours de la vie, études, part de femmes",83%,83,0.14,0.03,
France,2015,"Victimes de tentatives de viol au cours de la vie, travail, part de femmes",100%,100,0.02,0.00,
France,2015,"Victimes de tentatives de viol au cours de la vie, couple, part de femmes",97%,97,0.61,0.02,
France,2015,"Victimes de tentatives de viol au cours de la vie, ex-conjoint·e, part de femmes",99%,99,0.77,0.01,
France,2015,"Victimes de tentatives de viol au cours de la vie, espaces publics et autres, part de femmes",74%,74,0.52,0.19,
France,2015,"Victimes de tentatives de viol au cours de la vie, part de femmes",85%,85,2.50,0.46,
France,2015,"Victimes de violences sexuelles au cours de la vie, famille et proches, part de femmes",86%,86,4.99,0.83,
France,2015,"Victimes de violences sexuelles au cours de la vie, études, part de femmes",74%,74,1.38,0.49,
France,2015,"Victimes de violences sexuelles au cours de la vie, travail, part de femmes",76%,76,1.78,0.57,
France,2015,"Victimes de violences sexuelles au cours de la vie, couple, part de femmes",85%,85,1.13,0.20,
France,2015,"Victimes de violences sexuelles au cours de la vie, ex-conjoint·e, part de femmes",90%,90,1.48,0.17,
France,2015,"Victimes de violences sexuelles au cours de la vie, espaces publics et autres, part de femmes",79%,79,7.85,2.19,
France,2015,"Victimes de violences sexuelles au cours de la vie, part de femmes",79%,79,14.47,3.94,
France,2015,"Victimes d'autre acte ou pratique sexuel.le forcé.e au cours de la vie, famille et proches, part de femmes",75%,75,0.20,0.07,
France,2015,"Victimes d'autre acte ou pratique sexuel.le forcé.e au cours de la vie, études, part de femmes",41%,41,0.02,0.03,
France,2015,"Victimes d'autre acte ou pratique sexuel.le forcé.e au cours de la vie, travail, part de femmes",100%,100,0.05,0.00,
France,2015,"Victimes d'autre acte ou pratique sexuel.le forcé.eol au cours de la vie, couple, part de femmes",62%,62,0.11,0.07,
France,2015,"Victimes d'autre acte ou pratique sexuel.le forcé.e au cours de la vie, ex-conjoint·e, part de femmes",84%,84,0.21,0.04,
France,2015,"Victimes d'autre acte ou pratique sexuel.le forcé.e au cours de la vie, espaces publics et autres, part de femmes",70%,70,0.20,0.09,
France,2015,"Victimes d'autre acte ou pratique sexuel.le forcé.e au cours de la vie, part de femmes",71%,71,0.66,0.28,
