pays,annee,nom,prevaleur,valeur,femmes,hommes,notes
France,2015,"Victimes estimées de viol dans l'année, part de femmes",96%,96,0.26,0.01,INED Virage_Tableau 4 - page 26
France,2015,"Victimes estimées d'une tentative de viol dans l'année, part de femmes",95%,95,0.18,0.01,INED Virage_Tableau 4 - page 26
France,2015,"Victimes estimées d'autre agression sexuelle dans l'année, part de femmes",74%,74,2.76,1.00,INED Virage_Tableau 4 - page 26
France,2015,"Victimes estimées d'autre acte ou pratique sexuel·le forcé·e dans l'année, part de femmes",39%,39,0.05,0.08,INED Virage_Tableau 4 - page 26
France,2015,"Victimes estimées de violences sexuelles dans l'année, part de femmes",74%,74,2.9,1.03,INED Virage_Tableau 4 - page 26
France,2020,"Victimes de viol, part de femmes",98%,98,3700,70,Etude nationale sur les morts violentes au sein du couple
France,2018,"Victimes de violences physiques au sein du couple, part de femmes",66%,66,152000,75000,Etude nationale sur les morts violentes au sein du couple
France,2018,"Victimes de violences sexuelles au sein du couple, part de femmes",88%,88,30000,4000,Etude nationale sur les morts violentes au sein du couple
France,2018,"Victimes de violences physiques et sexuelles au sein du couple, part de femmes",91%,91,31000,3000,Etude nationale sur les morts violentes au sein du couple
France,2018,"Victimes de violences sexuelles hors ménage, part de femmes",76%,76,135000,41000,Etude nationale sur les morts violentes au sein du couple
