indicator,fr,es
"Victimes estimées de violences sexuelles dans les 12 derniers mois, part de femmes","Parmi les victimes estimées de violences sexuelles dans les 12 derniers mois, part de femmes",
"Victimes estimées de violences sexuelles dans le couple dans les 12 derniers mois, part de femmes","Parmi les victimes estimées de violences sexuelles dans le couple dans les 12 derniers mois, part de femmes",
"Victimes estimées de violences sexuelles dans leurs études dans les 12 derniers mois, part de femmes","Parmi les victimes estimées de violences sexuelles dans leurs études dans les 12 derniers mois, part de femmes",
"Victimes estimées de violences sexuelles dans d'autres espaces (dont espaces publics) dans les 12 derniers mois, part de femmes","Parmi les victimes estimées de violences sexuelles dans d'autres espaces (dont espaces publics) dans les 12 derniers mois, part de femmes",
"Victimes estimées de violences sexuelles au travail dans les 12 derniers mois, part de femmes","Parmi les victimes estimées de violences sexuelles au travail dans les 12 derniers mois, part de femmes",
"Victimes estimées de violences sexuelles par un·e ex-conjoint·e dans les 12 derniers mois, part de femmes","Parmi les victimes estimées de violences sexuelles par un·e ex-conjoint·e dans les 12 derniers mois, part de femmes",
"Victimes estimées de violences sexuelles par famille et proches dans les 12 derniers mois, part de femmes ","Parmi les victimes estimées de violences sexuelles par famille et proches dans les 12 derniers mois, part de femmes",
"Victimes estimées d'une tentative de viol dans l'année, part de femmes","Parmi les victimes estimées d'une tentative de viol dans l'année, part de femmes",
"Victimes estimées de viol dans l'année, part de femmes","Parmi les victimes estimées de viol dans l'année, part de femmes",
"Victimes estimées de violences sexuelles dans l'année, part de femmes","Parmi les victimes estimées de violences sexuelles dans l'année, part de femmes",
"Victimes estimées d'autre agression sexuelle dans l'année, part de femmes","Parmi les victimes estimées d'autre agression sexuelle dans l'année, part de femmes",
"Victimes estimées d'autre acte ou pratique sexuel·le forcé·e dans l'année, part de femmes","Parmi les victimes estimées d'autre acte ou pratique sexuel·le forcé·e dans l'année, part de femmes",
"Victimes de viol dans d'autres espaces (dont espaces publics) dans les 12 derniers mois, part de femmes","Parmi les victimes de viol dans d'autres espaces (dont espaces publics) dans les 12 derniers mois, part de femmes",
"Victimes de tentative d'autre acte ou pratique sexuel·le forcé·e dans d'autres espaces (dont espaces publics) dans les 12 derniers mois, part de femmes","Parmi les victimes de tentative d'autre acte ou pratique sexuel·le forcé·e dans d'autres espaces (dont espaces publics) dans les 12 derniers mois, part de femmes",
"Victimes de viol dans le couple dans les 12 derniers mois, part de femmes","Parmi les victimes de viol dans le couple dans les 12 derniers mois, part de femmes",
"Victimes de tentative d'autre agression sexuelle par famille et proches dans les 12 derniers mois, part de femmes","Parmi les victimes de tentative d'autre agression sexuelle par famille et proches dans les 12 derniers mois, part de femmes",
"Victimes de tentative de viol dans d'autres espaces (dont espaces publics) dans les 12 derniers mois, part de femmes","Parmi les victimes de tentative de viol dans d'autres espaces (dont espaces publics) dans les 12 derniers mois, part de femmes",
"Victimes de tentative de viol par un·e ex-conjoint·e dans les 12 derniers mois, part de femmes","Parmi les victimes de tentative de viol par un·e ex-conjoint·e dans les 12 derniers mois, part de femmes",
"Victimes de viol par un·e ex-conjoint·e dans les 12 derniers mois, part de femmes","Parmi les victimes de viol par un·e ex-conjoint·e dans les 12 derniers mois, part de femmes",
"Victimes de tentative d'autre agression sexuelle dans le couple dans les 12 derniers mois, part de femmes","Parmi les victimes de tentative d'autre agression sexuelle dans le couple dans les 12 derniers mois, part de femmes",
"Victimes de tentative d'autre agression sexuelle dans d'autres espaces (dont espaces publics) dans les 12 derniers mois, part de femmes","Parmi les victimes de tentative d'autre agression sexuelle dans d'autres espaces (dont espaces publics) dans les 12 derniers mois, part de femmes",
"Victimes de viol dans leur études dans les 12 derniers mois, part de femmes","Parmi les victimes de viol dans leur études dans les 12 derniers mois, part de femmes",
"Victimes de tentative d'autre agression sexuelle dans leur études dans les 12 derniers mois, part de femmes","Parmi les victimes de tentative d'autre agression sexuelle dans leur études dans les 12 derniers mois, part de femmes",
