pays,annee,nom,valeur,prevaleur,femmes,hommes,notes,
France,2020,"Victimes tué-es par son partenaire, part de femmes",84%,84,146,27,Etude nationale sur les morts violentes au sein du couple 2018,
France,2015,"Victimes de tentatives de viol au cours de la vie, famille et proches, part de femmes",79%,79,0.97,0.27,INED VIRAGE tableau 6,
France,2015,"Victimes de tentatives de viol au cours de la vie, études, part de femmes",83%,83,0.14,0.03,INED VIRAGE tableau 6,
France,2015,"Victimes de tentatives de viol au cours de la vie, travail, part de femmes",100%,100,0.02,0.00,INED VIRAGE tableau 6,
France,2015,"Victimes de tentatives de viol au cours de la vie, couple, part de femmes",97%,97,0.61,0.02,INED VIRAGE tableau 6,
France,2015,"Victimes de tentatives de viol au cours de la vie, ex-conjoint·e, part de femmes",99%,99,0.77,0.01,INED VIRAGE tableau 6,
France,2015,"Victimes de tentatives de viol au cours de la vie, espaces publics et autres, part de femmes",74%,74,0.52,0.19,INED VIRAGE tableau 6,
France,2015,"Victimes de tentatives de viol au cours de la vie, part de femmes",85%,85,2.50,0.46,INED VIRAGE tableau 6,
France,2016,"Victimes de meurtre au sein du couple, part de femmes",78%,78,123,34,Etude nationale sur les morts violentes au sein du couple 2018,#REF!
France,2015,"Victimes de meurtre au sein du couple, part de femmes",84%,84,122,22,Etude nationale sur les morts violentes au sein du couple 2018,#REF!
France,2016,"Victimes d'assassinat au sein du couple, part de femmes",90%,90,29,3,Etude nationale sur les morts violentes au sein du couple 2016,
France,2016,"Victimes de meurtre au sein du couple, part de femmes",75%,75,76,25,Etude nationale sur les morts violentes au sein du couple 2016,
France,2016,"Victimes de violences volontaires ayant entrainé la mort sans intention de la donner au sein du couple, part de femmes",80%,80,4,1,Etude nationale sur les morts violentes au sein du couple 2016,
France,2017,"Victimes d'assassinat au sein du couple, part de femmes",91%,91,22,2,Etude nationale sur les morts violentes au sein du couple 2017,
France,2017,"Victimes de meurtre au sein du couple, part de femmes",86%,86,86,13,Etude nationale sur les morts violentes au sein du couple 2017,
France,2017,"Victimes de violences volontaires ayant entrainé la mort sans intention de la donner au sein du couple, part de femmes",50%,50,1,1,Etude nationale sur les morts violentes au sein du couple 2017,
France,2018,"Victimes d'assassinat au sein du couple, part de femmes",76%,76,26,8,Etude nationale sur les morts violentes au sein du couple 2018,
France,2018,"Victimes de meurtre au sein du couple, part de femmes",83%,83,85,17,Etude nationale sur les morts violentes au sein du couple 2018,
France,2018,"Victimes de violences volontaires ayant entrainé la mort sans intention de la donner au sein du couple, part de femmes",76%,76,10,3,Etude nationale sur les morts violentes au sein du couple 2018,
France,2015,"Victimes de violences sexuelles au cours de la vie, famille et proches, part de femmes",86%,86,4.99,0.83,INED VIRAGE tableau 6,
