pays,annee,nom,prevaleur,valeur,femmes,hommes,notes,doc
France,2017," Auteur·trices de violences entre partenaires ayant exécuté une composition pénale, part de femmes",5%,5,140,2202,STOP Violence_page 11 - tableau 5,
France,2017," Auteur·trices de violences entre partenaires ayant fait l’objet de poursuites, part de femmes",4%,4,1109,22837,STOP Violence_page 11 - tableau 5,
France,2017,"Auteur·trices condamné·es de violences entre partenaires, crimes, part de femmes",8%,8,10,114,STOP Violence_page 12- tableau 6,
France,2017,"Auteur·trices condamné·es de violences entre partenaires, homicides volontaires, part de femmes",9%,9,6,56,STOP Violence_page 12- tableau 6,
France,2017,"Auteur·trices condamné·es de violences entre partenaires, viols, part de femmes",0%,0,0,51,STOP Violence_page 12- tableau 6,
France,2017,"Auteur·trices condamné·es de violences entre partenaires, délits, part de femmes",4%,4,720,16715,STOP Violence_page 12- tableau 6,
France,2017,"Auteur·trices condamné·es de violences entre partenaires, violences, part de femmes",4%,4,694,15056,STOP Violence_page 12- tableau 6,
France,2017,"Auteur·trices condamné·es de violences entre partenaires, agressions sexuelles, part de femmes",0%,0,1,204,STOP Violence_page 12- tableau 6,
France,2017,"Auteur·trices condamné·es de violences entre partenaires, menaces/harcèlement, part de femmes",1%,1,25,1413,STOP Violence_page 12- tableau 6,
France,2017,"Auteur·trices condamné·es de violences entre partenaires, non respect d’une ordonnance de protection, part de femmes",0%,0,0,42,STOP Violence_page 12- tableau 6,
France,2018," Auteur·trices de morts violentes au sein du couple, part de femmes",20%,20,31,118,Etude nationale sur les morts violentes au sein du couple 2018,
France,2017," Auteur·trices de morts violentes au sein du couple, part de femmes",12%,12,16,109,Etude nationale sur les morts violentes au sein du couple 2017,
France,2016," Auteur·trices de morts violentes au sein du couple, part de femmes",18%,18,28,120,Etude nationale sur les morts violentes au sein du couple 2016,
France,2015," Auteur·trices de morts violentes au sein du couple, part de femmes",14%,14,20,116,Etude nationale sur les morts violentes au sein du couple 2015,
France,2014," Auteur·trices de morts violentes au sein du couple, part de femmes",16%,16,28,146,Etude nationale sur les morts violentes au sein du couple 2014,
France,2013," Auteur·trices de morts violentes au sein du couple, part de femmes",17%,17,25,121,Etude nationale sur les morts violentes au sein du couple 2014,
France,2012," Auteur·trices de morts violentes au sein du couple, part de femmes",15%,15,27,147,Etude nationale sur les morts violentes au sein du couple 2014,
France,2011," Auteur·trices de morts violentes au sein du couple, part de femmes",16%,16,24,122,Etude nationale sur les morts violentes au sein du couple 2014,
France,2010," Auteur·trices de morts violentes au sein du couple, part de femmes",16%,16,23,120,Etude nationale sur les morts violentes au sein du couple 2014,
