indicator,fr,es
"Deuxièmes adjoints au maire, part de femmes","Deuxièmes adjoint·es au maire, part de femmes",
"Part de femmes adjoint·es et conseill·ères ","Maires adjoint·es et conseill·ères, part de femmes",
"Conseillers régionaux, vice-présidence, part de femmes","Conseiller·es régionaux, vice-présidence, part de femmes",
"Part de femmes adjoint·es et conseill·ères, moins de 1000 habitants","Maires adjoint·es et conseill·ères, ville de moins de 1000 habitants, part de femmes",
"Maire de communes rurales, part de femmes","Maire de communes rurales, part de femmes",
"Conseillers régionaux, présidence, part de femmes","Conseiller·es régionaux, présidence, part de femmes",
"Premiers adjoints au maire, part de femme","Premie·ères adjoint·es au maire, part_de_femmes",
"Conseillers communautaires, présidence, part de femmes","Conseiller·es communautaires, présidence, part de femmes",
"Maire de communes urbaines, part de femmes","Maire de communes urbaines, part de femmes",
"Part des femmes dans les conseils municipaux 1000 habitants au plus","Conseils_municipaux, ville de plus de 1000 habitants, part de femmes",
"Conseils intercommunaux, part de femmes","Conseiller·es intercommunaux·ales, part de femmes",
"Conseillers régionaux, autres fonctions, part de femmes","Conseiller·es régionaux, autres fonctions, part de femmes",
"Conseillers départementaux, présidence, part de femmes","Conseiller·es départementaux·ales, présidence, part de femmes",
"Conseillers départementaux, vice-présidence, part de femmes","Conseiller·es départementaux·ales, vice-présidence, part de femmes",
"Part des femmes dans les conseils municipaux moins de 1000 habitants","Conseils_municipaux, ville de moins de 1000 habitants, part de femmes",
"Part de femmes maires, 1000 habitants au plus","Maires, ville de plus de 1000 habitants, part de femmes",
"Part de femmes maires","Maires, part de femmes",
"Conseillers départementaux, autres fonctions, part de femmes","Conseiller·es départementaux·ales, autres fonctions, part de femmes",
"Conseillers communautaires, vice-présidence, part de femmes","Conseiller·es communautaires, vice-présidence, part de femmes",
"Part de femmes adjoint·es et conseill·ères, 1000 habitants au plus","Maires_adjoint·es et conseill·ères, ville de plus de 1000 habitants, part de femmes",
"Part des femmes dans les conseils municipaux","Conseils municipaux, part de femmes",
"Conseillers communautaires, hors fonction éxecutive, part de femmes","Conseiller·es communautaires, hors fonction éxecutive, part de femmes",
"Part de femmes maires, moins de 1000 habitants","Maires, ville de moins de 1000 habitants, part de femmes",
"Direction et présidence, part de femmes","Direction et présidence, part de femmes",
"Retraités, part de femmes","Retraité·es, part de femmes",
"Agriculteurs exploitants, part de femmes","Agriculteurs·rices exploitant·es, part de femmes",
"Professions intermédiaires, part de femmes","Professions intermédiaires, part de femmes",
"Ouvriers, part de femmes","Ouvrier·es, part de femmes",
"Employés, part de femmes","Employé·es, part de femmes",
"Cadres et professions intellectuelles supérieures, part de femmes","Cadres et professions intellectuelles supérieures, part de femmes",
"Direction Arttistique et développement, part de femmes","Direction Artistique et développement, part de femmes",
"Artisans, commerçants, chefs d'entreprise, part de femmes","Artisan·es, commerçant·es, chef·fes d'entreprise, part de femmes",
"Autres personnes sans activité professionnelle, part de femmes","Autres personnes sans activité professionnelle, part de femmes",
"Titulaire de CAP, BEP ou équivalent, femmes par rapport aux hommes","Titulaire de CAP, BEP ou équivalent, femmes par rapport aux hommes",
"Titulaire de Baccalauréat, brevet professionnel ou équivalent, femmes par rapport aux hommes","Titulaire de Baccalauréat, brevet professionnel ou équivalent, femmes par rapport aux hommes",
"Titulaire de Diplôme de l'enseignement supérieur de niveau bac + 3 ou bac + 4, femmes par rapport aux hommes","Titulaire de Diplôme de l'enseignement supérieur de niveau bac + 3 ou bac + 4, femmes par rapport aux hommes",
"Titulaire de BEPC, brevet des collèges, DNB, part de femmes, femmes par rapport aux hommes","Titulaire de BEPC, brevet des collèges, DNB, part de femmes, femmes par rapport aux hommes",
"Titulaire de Aucun diplôme ou certificat d'études primaires, femmes par rapport aux hommes","Titulaire de Aucun diplôme ou certificat d'études primaires, femmes par rapport aux hommes",
"Titulaire de Diplôme de l'enseignement supérieur de niveau bac + 5 ou plus, femmes par rapport aux hommes","Titulaire de Diplôme de l'enseignement supérieur de niveau bac + 5 ou plus, femmes par rapport aux hommes",
"Titulaire de Diplôme de l'enseignement supérieur de niveau bac + 2, femmes par rapport aux hommes","Titulaire de Diplôme de l'enseignement supérieur de niveau bac + 2, femmes par rapport aux hommes",
"Taux de temps partiel, femmes par rapport aux hommes, 55 à 64 ans","De 55 à 64 ans, taux de temps partiel, femmes par rapport aux hommes",
"Taux de temps partiel, femmes par rapport aux hommes, 15 à 24 ans","De 15 à 24 ans, taux de temps partiel, femmes par rapport aux hommes",
"Taux de temps partiel, femmes par rapport aux hommes, 25 à 54 ans",", taux de temps partiel, femmes par rapport aux hommes",
"Taux de temps partiel, femmes par rapport aux hommes","Taux de temps partiel, femmes par rapport aux hommes",
"Salaire horaire net moyen, femmes par rapport aux hommes, Ouvriers","Ouvries·ères, salaire horaire net moyen, femmes par rapport aux hommes",
"Salaire horaire net moyen, femmes par rapport aux hommes, 26 à 50 ans","De 26 à 50 ans, salaire horaire net moyen, femmes par rapport aux hommes",
"Salaire horaire net moyen, femmes par rapport aux hommes, Cadres Sup.","Cadres Sup., salaire horaire net moyen, femmes par rapport aux hommes",
"Salaire horaire net moyen, femmes par rapport aux hommes, 18 à 25 ans","Salaire horaire net moyen, femmes par rapport aux hommes, 18 à 25 ans",
"Salaire horaire net moyen, femmes par rapport aux hommes, + de 50 ans","Plus de 50 ans, salaire horaire net moyen, femmes par rapport aux hommes",
"Salaire horaire net moyen, femmes par rapport aux hommes","Salaire horaire net moyen, femmes par rapport aux hommes",
"Salaire horaire net moyen, femmes par rapport aux hommes, Employés","Employé·es, salaire horaire net moyen, femmes par rapport aux hommes",
"Salaire horaire net moyen, femmes par rapport aux hommes, Professions intermédiaires","Professions intermédiaires, salaire horaire net moyen, femmes par rapport aux hommes",
