1a - Average number of hours spent on domestic chores and care work  by sex  age and location

Indicator Name,Region,Country Code,Country,Year,Sex,Age,Location,Occupation,Value,LowerBound,UpperBound,Unit,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Average number of hours spent on domestic chores and care work  by sex  age and location,Southern Asia,64,Bhutan,2007,Female,All age ranges or no breaks by age,All areas,-,3.1833,-,-,Percentage,Country adjusted data,-,Travel related to unpaid domestic and care work is not included; unknown age breakdown.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Southern Asia,64,Bhutan,2007,Male,All age ranges or no breaks by age,All areas,-,1.2166992,-,-,Percentage,Country adjusted data,-,Travel related to unpaid domestic and care work is not included; unknown age breakdown.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Southern Asia,64,Bhutan,2015,Female,15 years old and over,All areas,-,3.6,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Southern Asia,64,Bhutan,2015,Male,15 years old and over,All areas,-,1.4167008,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Southern Asia,364,Iran (Islamic Republic of),2009,Female,15 years old and over,All areas,-,5.0500008,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Southern Asia,364,Iran (Islamic Republic of),2009,Male,15 years old and over,All areas,-,1.2499992,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Southern Asia,586,Pakistan,2007,Female,10 years old and over,Urban,-,4.5,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Southern Asia,586,Pakistan,2007,Female,10 years old and over,Rural,-,4.9000008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Southern Asia,586,Pakistan,2007,Female,10 years old and over,All areas,-,4.7667,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Southern Asia,586,Pakistan,2007,Male,10 years old and over,Urban,-,0.4333008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Southern Asia,586,Pakistan,2007,Male,10 years old and over,Rural,-,0.4333008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Southern Asia,586,Pakistan,2007,Male,10 years old and over,All areas,-,0.4333008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,8,Albania,2011,Female,65 years old and over,Urban,-,4.1833008,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,8,Albania,2011,Female,65 years old and over,Rural,-,4.7167008,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,8,Albania,2011,Female,65 years old and over,All areas,-,4.4332992,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,8,Albania,2011,Female,10 years old and over,Urban,-,4.5832992,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,8,Albania,2011,Female,10 years old and over,Rural,-,5.9167008,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,8,Albania,2011,Female,10 years old and over,All areas,-,5.2167,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,8,Albania,2011,Male,65 years old and over,Urban,-,1.5667008,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,8,Albania,2011,Male,65 years old and over,Rural,-,1.5667008,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,8,Albania,2011,Male,65 years old and over,All areas,-,1.5667008,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,8,Albania,2011,Male,10 years old and over,Urban,-,0.7167,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,8,Albania,2011,Male,10 years old and over,Rural,-,0.9333,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,8,Albania,2011,Male,10 years old and over,All areas,-,0.8332992,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,36,Australia,2006,Female,15 years old and over,All areas,-,4.9999992,-,-,Percentage,Country data,-,"Unpaid domestic work" comprises 'Domestic activities' and 'Purchasing goods and services'. "Support for adults" has been included under unpaid care work as it might include both household and family members and non-household and -family members.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,36,Australia,2006,Male,15 years old and over,All areas,-,2.7333,-,-,Percentage,Country data,-,"Unpaid domestic work" comprises 'Domestic activities' and 'Purchasing goods and services'. "Support for adults" has been included under unpaid care work as it might include both household and family members and non-household and -family members.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Female,15 years old and over,Urban,-,4.1769,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Female,15 years old and over,Rural,-,4.8046008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Female,15 years old and over,All areas,-,4.5766992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Female,65 years old and over,Urban,-,4.9213992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Female,65 years old and over,Rural,-,5.1103008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Female,65 years old and over,All areas,-,5.0500008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Female,10 years old and over,Urban,-,4.0429992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Female,10 years old and over,Rural,-,4.5987,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Female,10 years old and over,All areas,-,4.3989,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Female,15 to 24 years old,Urban,-,1.7082,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Female,15 to 24 years old,Rural,-,2.1139992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Female,15 to 24 years old,All areas,-,1.9594008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Female,45 to 54 years old,Urban,-,4.0225992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Female,45 to 54 years old,Rural,-,4.6273008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Female,45 to 54 years old,All areas,-,4.4022,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Female,55 to 64 years old,Urban,-,4.5052992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Female,55 to 64 years old,Rural,-,5.4594,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Female,55 to 64 years old,All areas,-,5.1208992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Female,25 to 44 years old,Urban,-,4.6999008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Female,25 to 44 years old,Rural,-,5.4730992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Female,25 to 44 years old,All areas,-,5.1766992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Male,15 years old and over,Urban,-,2.3562,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Male,15 years old and over,Rural,-,2.4441,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Male,15 years old and over,All areas,-,2.4130008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Male,65 years old and over,Urban,-,3.3988992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Male,65 years old and over,Rural,-,3.6358008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Male,65 years old and over,All areas,-,3.5557008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Male,10 years old and over,Urban,-,2.2303992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Male,10 years old and over,Rural,-,2.3317992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Male,10 years old and over,All areas,-,2.2959,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Male,15 to 24 years old,Urban,-,0.7797,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Male,15 to 24 years old,Rural,-,1.1244,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Male,15 to 24 years old,All areas,-,1.0002,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Male,45 to 54 years old,Urban,-,2.7648,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Male,45 to 54 years old,Rural,-,2.3953992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Male,45 to 54 years old,All areas,-,2.5267008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Male,55 to 64 years old,Urban,-,2.5354992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Male,55 to 64 years old,Rural,-,2.9182008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Male,55 to 64 years old,All areas,-,2.7940008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Male,25 to 44 years old,Urban,-,2.2816992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Male,25 to 44 years old,Rural,-,2.2395,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,40,Austria,2009,Male,25 to 44 years old,All areas,-,2.2552008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,56,Belgium,2000,Female,12 years old and over,All areas,-,3.8500008,-,-,Percentage,Country adjusted data,-,"Care and help of family members" is considered under unpaid care work.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,56,Belgium,2000,Male,12 years old and over,All areas,-,2.2167,-,-,Percentage,Country adjusted data,-,"Care and help of family members" is considered under unpaid care work.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,56,Belgium,2005,Female,12 years old and over,All areas,-,3.6,-,-,Percentage,Country adjusted data,-,"Care and help of family members" is considered under unpaid care work.,-,-,-,-,-,-
