13 - Gender gap in wages  by occupation  age and persons with disabilities

Indicator Name,Region,Country Code,Country,Year,Sex,Age,Location,Occupation,Value,LowerBound,UpperBound,Unit,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Female,-,-,All occupations (isco-08),66,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Female,-,-,Managers (isco-08),244,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Female,-,-,Professionals (isco-08),115,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Female,-,-,Technicians and associate professionals (isco-08),76,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Female,-,-,Clerical support workers (isco-08),103,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Female,-,-,Service and sales workers (isco-08),66,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Female,-,-,Skilled agricultural  forestry and fishery workers (isco-08),28,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Female,-,-,Craft and related trades workers (isco-08),30,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Female,-,-,Plant and machine operators  and assemblers (isco-08),39,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Female,-,-,Elementary occupations (isco-08),36,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Male,-,-,All occupations (isco-08),74,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Male,-,-,Managers (isco-08),235,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Male,-,-,Professionals (isco-08),162,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Male,-,-,Technicians and associate professionals (isco-08),113,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Male,-,-,Clerical support workers (isco-08),109,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Male,-,-,Service and sales workers (isco-08),53,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Male,-,-,Skilled agricultural  forestry and fishery workers (isco-08),60,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Male,-,-,Craft and related trades workers (isco-08),65,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Male,-,-,Plant and machine operators  and assemblers (isco-08),55,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Male,-,-,Elementary occupations (isco-08),50,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
