5 - Proportion of employed who are contributing family workers  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of employed who are contributing family workers  by sex,Southern Asia,4,Afghanistan,2008,Female,74.54,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,0
Proportion of employed who are contributing family workers  by sex,Southern Asia,4,Afghanistan,2008,Male,11.05,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,0
Proportion of employed who are contributing family workers  by sex,Southern Asia,4,Afghanistan,2008,Both sexes,32.68,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,0
Proportion of employed who are contributing family workers  by sex,Southern Asia,4,Afghanistan,2012,Female,38.6,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,0
Proportion of employed who are contributing family workers  by sex,Southern Asia,4,Afghanistan,2012,Male,7.9,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,0
Proportion of employed who are contributing family workers  by sex,Southern Asia,4,Afghanistan,2012,Both sexes,12.97,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,0
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2003,Female,48.03,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2003,Male,9.9,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2003,Both sexes,18.37,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2000,Female,73.25,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2000,Male,10.1,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2000,Both sexes,33.76,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2005,Female,60.12,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2005,Male,9.67,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2005,Both sexes,21.68,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2010,Female,56.26,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,0,0,0,-,0
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2010,Male,7.02,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,0,0,0,-,0
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2010,Both sexes,21.77,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,0,0,0,-,0
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,1996,Female,77.33,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,1996,Male,17.13,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,1996,Both sexes,40.1,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2006,Female,60.12,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,0,0,0,-,0
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2006,Male,9.67,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,0,0,0,-,0
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2006,Both sexes,21.68,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,0,0,0,-,0
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2011,Female,11.4,-,-,Country data,National,0,0,0,0,0,-,Data reference period: October
