Allemagne	2015°	Parlementaires=_part_de_femmes	36%	0.27
Australie	2015°	Parlementaires=_part_de_femmes	27%	0.46599999999999997
Autriche	2015°	Parlementaires=_part_de_femmes	31%	0.388
Belgique	2015°	Parlementaires=_part_de_femmes	39%	0.21400000000000008
Canada	2015°	Parlementaires=_part_de_femmes	25%	0.496
Chili	2015°	Parlementaires=_part_de_femmes	16%	0.6839999999999999
Colombie	2015°	Parlementaires=_part_de_femmes	20%	0.6020000000000001
Corée	2015°	Parlementaires=_part_de_femmes	16%	0.6739999999999999
Danemark	2015°	Parlementaires=_part_de_femmes	38%	0.24
Espagne	2015°	Parlementaires=_part_de_femmes	41%	0.17799999999999994
Estonie	2015°	Parlementaires=_part_de_femmes	20%	0.604
Finlande	2015°	Parlementaires=_part_de_femmes	42%	0.15000000000000002
France	2015°	Parlementaires=_part_de_femmes	26%	0.476
Grèce	2015°	Parlementaires=_part_de_femmes	23%	0.54
Hongrie	2015°	Parlementaires=_part_de_femmes	10%	0.798
Irlande	2015°	Parlementaires=_part_de_femmes	16%	0.6739999999999999
Islande	2015°	Parlementaires=_part_de_femmes	41%	0.17400000000000004
Israël	2015°	Parlementaires=_part_de_femmes	22%	0.55
Italie	2015°	Parlementaires=_part_de_femmes	31%	0.38
Japon	2015°	Parlementaires=_part_de_femmes	10%	0.81
Lettonie	2015°	Parlementaires=_part_de_femmes	18%	0.64
Luxembourg	2015°	Parlementaires=_part_de_femmes	28%	0.43399999999999994
Mexique	2015°	Parlementaires=_part_de_femmes	38%	0.24
Norvège	2015°	Parlementaires=_part_de_femmes	40%	0.20799999999999996
Nouvelle-Zélande	2015°	Parlementaires=_part_de_femmes	31%	0.372
Pays-Bas	2015°	Parlementaires=_part_de_femmes	37%	0.254
Pologne	2015°	Parlementaires=_part_de_femmes	24%	0.518
Portugal	2015°	Parlementaires=_part_de_femmes	31%	0.374
Royaume-Uni	2015°	Parlementaires=_part_de_femmes	29%	0.41200000000000003
République_tchèque	2015°	Parlementaires=_part_de_femmes	19%	0.62
Slovaquie	2015°	Parlementaires=_part_de_femmes	19%	0.626
Slovénie	2015°	Parlementaires=_part_de_femmes	37%	0.2659999999999999
Suisse	2015°	Parlementaires=_part_de_femmes	30%	0.39
Suède	2015°	Parlementaires=_part_de_femmes	44%	0.128
Turquie	2015°	Parlementaires=_part_de_femmes	14%	0.712
États-Unis	2015°	Parlementaires=_part_de_femmes	19%	0.6120000000000001
