0	Allemagne	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	24%	0.52
1	Autriche	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	35%	0.30000000000000004
2	Belgique	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	21%	0.5800000000000001
3	Chili	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	21%	0.578
4	Danemark	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	26%	0.48
5	Espagne	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	13%	0.74
6	Estonie	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	17%	0.6599999999999999
7	Finlande	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	36%	0.28
8	Grèce	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	50%	0.0
9	Hongrie	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	50%	0.0
10	Irlande	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	30%	0.4
11	Islande	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	18%	0.64
12	Israël	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	20%	0.6
13	Italie	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	25%	0.5
14	Lettonie	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	62%	0.24
15	Luxembourg	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	59%	0.17999999999999994
16	Norvège	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	35%	0.30000000000000004
17	Portugal	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	18%	0.64
18	République_tchèque	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	27%	0.46
19	Slovaquie	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	58%	0.15999999999999992
20	Slovénie	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	38%	0.24
21	Suisse	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	29%	0.42
22	Suède	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	39%	0.22
23	Turquie	2014°	Cour_suprême=_ou_plus_haute_juridiction=_part_de_femmes	16%	0.6799999999999999
0	Autriche	2012°	Juges=_part_de_femmes	49%	0.020000000000000014
1	Belgique	2012°	Juges=_part_de_femmes	49%	0.020000000000000014
2	Danemark	2012°	Juges=_part_de_femmes	51%	0.020000000000000014
3	Espagne	2012°	Juges=_part_de_femmes	50%	0.0
4	Estonie	2012°	Juges=_part_de_femmes	64%	0.28
5	Finlande	2012°	Juges=_part_de_femmes	51%	0.020000000000000014
6	France	2012°	Juges=_part_de_femmes	60%	0.2
7	Grèce	2012°	Juges=_part_de_femmes	68%	0.3600000000000001
8	Hongrie	2012°	Juges=_part_de_femmes	69%	0.3799999999999999
9	Irlande	2012°	Juges=_part_de_femmes	26%	0.48
10	Islande	2012°	Juges=_part_de_femmes	29%	0.42
11	Israël	2012°	Juges=_part_de_femmes	50%	0.0
12	Italie	2012°	Juges=_part_de_femmes	51%	0.020000000000000014
13	Japon	2012°	Juges=_part_de_femmes	19%	0.62
14	Lettonie	2012°	Juges=_part_de_femmes	77%	0.54
15	Norvège	2012°	Juges=_part_de_femmes	39%	0.22
16	Pays-Bas	2012°	Juges=_part_de_femmes	53%	0.06000000000000005
17	Pologne	2012°	Juges=_part_de_femmes	63%	0.26
18	Portugal	2012°	Juges=_part_de_femmes	57%	0.1399999999999999
19	République_tchèque	2012°	Juges=_part_de_femmes	61%	0.22
20	Slovaquie	2012°	Juges=_part_de_femmes	63%	0.26
21	Slovénie	2012°	Juges=_part_de_femmes	78%	0.56
22	Suisse	2012°	Juges=_part_de_femmes	35%	0.30000000000000004
23	Suède	2012°	Juges=_part_de_femmes	47%	0.06000000000000005
24	Turquie	2012°	Juges=_part_de_femmes	34%	0.31999999999999995
25	Autriche	2014°	Juges=_part_de_femmes	51%	0.020000000000000014
26	Belgique	2014°	Juges=_part_de_femmes	52%	0.040000000000000036
27	Danemark	2014°	Juges=_part_de_femmes	51%	0.020000000000000014
28	Espagne	2014°	Juges=_part_de_femmes	52%	0.040000000000000036
29	Estonie	2014°	Juges=_part_de_femmes	63%	0.26
30	Finlande	2014°	Juges=_part_de_femmes	52%	0.040000000000000036
31	France	2014°	Juges=_part_de_femmes	62%	0.24
32	Grèce	2014°	Juges=_part_de_femmes	72%	0.44
33	Hongrie	2014°	Juges=_part_de_femmes	69%	0.3799999999999999
34	Irlande	2014°	Juges=_part_de_femmes	33%	0.34
35	Islande	2014°	Juges=_part_de_femmes	30%	0.4
36	Israël	2014°	Juges=_part_de_femmes	51%	0.020000000000000014
