annee,pays,nom,part de femmes
2006,France,Part des réalisatrices dans les films à plus de 7 M€,11.1
2007,France,Part des réalisatrices dans les films à plus de 7 M€,18.4
2008,France,Part des réalisatrices dans les films à plus de 7 M€,10.0
2009,France,Part des réalisatrices dans les films à plus de 7 M€,10.9
2010,France,Part des réalisatrices dans les films à plus de 7 M€,5.8
2011,France,Part des réalisatrices dans les films à plus de 7 M€,7.7
2012,France,Part des réalisatrices dans les films à plus de 7 M€,10.9
2013,France,Part des réalisatrices dans les films à plus de 7 M€,12.5
2014,France,Part des réalisatrices dans les films à plus de 7 M€,8.3
2015,France,Part des réalisatrices dans les films à plus de 7 M€,13.7
2006,France,Part des réalisatrices dans les films à moins de 1 M€,25.0
2007,France,Part des réalisatrices dans les films à moins de 1 M€,22.9
2008,France,Part des réalisatrices dans les films à moins de 1 M€,22.7
2009,France,Part des réalisatrices dans les films à moins de 1 M€,17.9
2010,France,Part des réalisatrices dans les films à moins de 1 M€,22.5
2011,France,Part des réalisatrices dans les films à moins de 1 M€,21.7
2012,France,Part des réalisatrices dans les films à moins de 1 M€,27.6
2013,France,Part des réalisatrices dans les films à moins de 1 M€,26.4
2014,France,Part des réalisatrices dans les films à moins de 1 M€,25.4
2015,France,Part des réalisatrices dans les films à moins de 1 M€,20.3
2011-2015,France,Part des films réalisés par des femmes,22.3
2011-2015,Allemagne,Part des films réalisés par des femmes,19.7
2011-2015,Grande Bretagne,Part des films réalisés par des femmes,11.5
2011-2015,Italie,Part des films réalisés par des femmes,10.2
2011-2015,Espagne,Part des films réalisés par des femmes,11.6
