annee,pays,nom,part de femmes
2006,France,Effectifs dans la production cinématographique de fiction,"40,5"
2007,France,Effectifs dans la production cinématographique de fiction,"42,4"
2008,France,Effectifs dans la production cinématographique de fiction,"40,3"
2009,France,Effectifs dans la production cinématographique de fiction,"41,0"
2010,France,Effectifs dans la production cinématographique de fiction,"40,6"
2011,France,Effectifs dans la production cinématographique de fiction,"43,4"
2012,France,Effectifs dans la production cinématographique de fiction,"41,8"
2013,France,Effectifs dans la production cinématographique de fiction,"42,9"
2014,France,Effectifs dans la production cinématographique de fiction,"43,7"
2008-2014,France,Effectifs dans la production cinématographique cadres,36.6
2008-2014,France,Effectifs dans la production cinématographique non cadres,37.1
2008-2014,France,Effectifs dans la production cinématographique artistes,44.9
2008-2014,France,Effectifs dans la production cinématographique total,43.8
