annee,pays,nom,femmes,hommes
2006,France,Part des entrées des films réalisés par des femmes,"5,5","56,3"
2007,France,Part des entrées des films réalisés par des femmes,"10,0","62,8"
2008,France,Part des entrées des films réalisés par des femmes,"11,7","68,0"
2009,France,Part des entrées des films réalisés par des femmes,"8,6","49,6"
2010,France,Part des entrées des films réalisés par des femmes,"9,6","75,2"
2011,France,Part des entrées des films réalisés par des femmes,"8,6","78,6"
2012,France,Part des entrées des films réalisés par des femmes,"7,2","57,0"
2013,France,Part des entrées des films réalisés par des femmes,"7,7","68,5"
2014,France,Part des entrées des films réalisés par des femmes,"7,2","42,4"
2015,France,Part des entrées des films réalisés par des femmes,"2,2","12,3"
