indicator,es,fr
"Actividades de edición, porcentaje de mujeres","Actividades de edición, porcentaje de mujeres",
"Pobre tiempo e ingresos zona rural (LIMTIP), porcentaje de mujeres con respecto al de hombres","Pobre tiempo e ingresos zona rural (LIMTIP), porcentaje de mujeres con respecto al de hombres",
"Ocupados con déficit de tiempo, porcentaje de mujeres con respecto al de hombres","Ocupados con déficit de tiempo, porcentaje de mujeres con respecto al de hombres",
"Educación superior privada, porcentaje de mujeres","Trabajadores educación superior privada, porcentaje de mujeres",
"Producción de películas cinematográficas, porcentaje de mujeres","Producción de películas cinematográficas, porcentaje de mujeres",
"Desarrollo de sistemas informáticos y procesamiento de datos, porcentaje de mujeres","Desarrollo de sistemas informáticos y procesamiento de datos, porcentaje de mujeres",
Trabajo doméstico y de cuidados no remunerado - Voluntariado,"Participación mujeres trabajo doméstico y de cuidados no remunerado, voluntariado",
"Salud humana, porcentaje de mujeres","Trabajadores salud humana, porcentaje de mujeres",
"Pobre ocultos zona urbana, porcentaje de mujeres con respecto al de hombres","Pobre ocultos zona urbana, porcentaje de mujeres con respecto al de hombres",
"Poblacion activa titulados educación universitaria","Poblacion activa titulados educación universitaria, porcentaje de mujeres con respecto al de hombres",
"Poblacion activa titulados bachiller","Poblacion activa titulados bachiller, porcentaje de mujeres con respecto al de hombres",
"Desempleo no titulados, porcentaje de mujeres con respecto al de hombres","Desempleo no titulados, porcentaje de mujeres con respecto al de hombres",
"Poblacion activa titulados educación técnica o tecnológica","Poblacion activa titulados educación técnica o tecnológica, porcentaje de mujeres con respecto al de hombres",
Trabajo doméstico y de cuidados no remunerado,Participación mujeres trabajo doméstico y de cuidados no remunerado,
"Pobres de ingresos, desocupados, porcentaje de mujeres con respecto al de hombres","Pobres de ingresos, desocupados, porcentaje de mujeres con respecto al de hombres",
"Desempleo titulados educación universitaria","Desempleo titulados educación universitaria, porcentaje de mujeres con respecto al de hombres",
"Actividades de empleo, seguridad e investigación privada, servicios a edificios, porcentaje de mujeres","Actividades de empleo, seguridad e investigación privada, servicios a edificios, porcentaje de mujeres",
"Pobres de ingresos zona urbana, porcentaje de mujeres con respecto al de hombres","Pobres de ingresos zona urbana, porcentaje de mujeres con respecto al de hombres",
"Desempleo titulados postgrado","Desempleo titulados postgrado, porcentaje de mujeres con respecto al de hombres",
"Desempleo titulados educación media","Desempleo titulados educación media, porcentaje de mujeres con respecto al de hombres",
Trabajo doméstico y de cuidados no remunerado - Suministro de alimentos,"Participación mujeres en trabajo doméstico y de cuidados no remunerado, suministro de alimentos",
"Pobre tiempo e ingresos zona urbana (LIMTIP), porcentaje de mujeres con respecto al de hombres","Pobre tiempo e ingresos zona urbana (LIMTIP), porcentaje de mujeres con respecto al de hombres",
"Pobres de tiempo, desocupados, porcentaje de mujeres con respecto al de hombres","Pobres de tiempo, desocupados, porcentaje de mujeres con respecto al de hombres",
"Actividades administrativas y de apoyo a oficina y otras actividades de apoyo a las empresas, porcentaje de mujeres","Actividades administrativas y de apoyo a oficina y otras actividades de apoyo a las empresas, porcentaje de mujeres",
Trabajo doméstico y de cuidados no remunerado - Limpieza y mantenimiento del hogar,"Participación mujeres trabajo doméstico y de cuidados no remunerado, limpieza y mantenimiento del hogar",
"Pobres de tiempo zona rural, porcentaje de mujeres con respecto al de hombres","Pobres de tiempo zona rural, porcentaje de mujeres con respecto al de hombres",
"Desocupados con déficit de tiempo, porcentaje de mujeres con respecto al de hombres","Desocupados con déficit de tiempo, porcentaje de mujeres con respecto al de hombres",
"Pobre ocultos, porcentaje de mujeres con respecto al de hombres","Pobre ocultos, porcentaje de mujeres con respecto al de hombres",
"Correo y servicios de mensajería, porcentaje de mujeres","Trabajadores correo y servicios de mensajería, porcentaje de mujeres",
"Pobre ocultos zona rural, porcentaje de mujeres con respecto al de hombres","Pobre ocultos zona rural, porcentaje de mujeres con respecto al de hombres",
"Poblacion activa no titulados, porcentaje de mujeres con respecto al de hombres","Poblacion activa no titulados, porcentaje de mujeres con respecto al de hombres",
"Pobres de tiempo, porcentaje de mujeres con respecto al de hombres","Pobres de tiempo, porcentaje de mujeres con respecto al de hombres",
"Actividades de programación y trasmisión de televisión, porcentaje de mujeres","Actividades de programación y trasmisión de televisión, porcentaje de mujeres",
Tiempo total promedio de trabajo,Brecha mujeres-hombres promedio horas semanales de trabajo,
"Desempleo titulados bachiller","Desempleo titulados bachiller, porcentaje de mujeres con respecto al de hombres",
"Desempleo titulados educación técnica profesional y tecnológica","Desempleo titulados educación técnica profesional y tecnológica, porcentaje de mujeres con respecto al de hombres",
"Poblacion activa titulados postgrado","Poblacion activa titulados postgrado, porcentaje de mujeres con respecto al de hombres",
Tasa de ocupación,Tasa de ocupación de mujeres con respecto a la de hombres,
Trabajo doméstico y de cuidados no remunerado - Compras y administración del hogar,"Participación mujeres trabajo doméstico y de cuidados no remunerado, compras y administración del hogar",
"Juegos de azar, actividades deportivas, recreativas y esparcimiento, porcentaje de mujeres","Trabajadores juegos de azar, actividades deportivas, recreativas y esparcimiento, porcentaje de mujeres",
"Pobre tiempo e ingresos (LIMTIP), porcentaje de mujeres con respecto al de hombres","Pobre tiempo e ingresos (LIMTIP), porcentaje de mujeres con respecto al de hombres",
Tasa de desempleo,Tasa de desempleo de mujeres con respecto a la de hombres,
"Pobre tiempo e ingresos, ocupados, porcentaje de mujeres con respecto al de hombres","Pobre tiempo e ingresos, ocupados, porcentaje de mujeres con respecto al de hombres",
"Pobres de tiempo zona urbana, porcentaje de mujeres con respecto al de hombres","Pobres de tiempo zona urbana, porcentaje de mujeres con respecto al de hombres",
"Actividades profesionales, científicas y técnicas, porcentaje de mujeres","Actividades profesionales, científicas y técnicas, porcentaje de mujeres",
"Pobre tiempo e ingresos, desocupados, porcentaje de mujeres con respecto al de hombres","Pobre tiempo e ingresos, desocupados, porcentaje de mujeres con respecto al de hombres",
"Telecomunicaciones, porcentaje de mujeres","Telecomunicaciones, porcentaje de mujeres",
Trabajo doméstico y de cuidados no remunerado - Mantenimiento de vestuario,"Participación mujeres trabajo doméstico y de cuidados no remunerado, mantenimiento de vestuario",
Trabajo remunerado,Brecha mujeres-hombres horas semanales de trabajo remunerado,
"Actividades inmobiliarias y alquileres sin operario, porcentaje de mujeres","Actividades inmobiliarias y alquileres sin operario, porcentaje de mujeres",
"Publicidad, porcentaje de mujeres","Publicidad, porcentaje de mujeres",
Trabajo doméstico y de cuidados no remunerado - Cuidado y apoyo de personas,"Participación mujeres trabajo doméstico y de cuidados no remunerado, cuidado y apoyo de personas",
"Pobres de ingresos, ocupados, porcentaje de mujeres con respecto al de hombres","Pobres de ingresos, ocupados, porcentaje de mujeres con respecto al de hombres",
"Desempleo titulados educación básica primaria","Desempleo titulados educación básica primaria, porcentaje de mujeres con respecto al de hombres",
"Almacenamiento y actividades complementarias al transporte, porcentaje de mujeres","Trabajadores almacenamiento y actividades complementarias al transporte, porcentaje de mujeres",
"Pobres de ingresos, porcentaje de mujeres con respecto al de hombres","Pobres de ingresos, porcentaje de mujeres con respecto al de hombres",
"Pobre ocultos, desocupados, porcentaje de mujeres con respecto al de hombres","Pobre ocultos, desocupados, porcentaje de mujeres con respecto al de hombres",
"Alojamiento, porcentaje de mujeres","Trabajadores alojamiento, porcentaje de mujeres",
"Otras actividades de servicios, porcentaje de mujeres","Trabajadores otras actividades de servicios, porcentaje de mujeres",
"Pobre ocultos, ocupados, porcentaje de mujeres con respecto al de hombres","Pobre ocultos, ocupados, porcentaje de mujeres con respecto al de hombres",
Oficios del hogar y actividades de cuidado,Brecha mujeres-hombres horas semanales oficios del hogar y actividades de cuidado,
"Restaurantes, catering y bares, porcentaje de mujeres","Trabajadores restaurantes, catering y bares, porcentaje de mujeres",
"Agencias de Viaje, porcentaje de mujeres","Trabajadores agencias de viaje, porcentaje de mujeres",
"Pobres de tiempo, ocupados, porcentaje de mujeres con respecto al de hombres","Pobres de tiempo, ocupados, porcentaje de mujeres con respecto al de hombres",
"Pobres de ingresos zona rural, porcentaje de mujeres con respecto al de hombres","Pobres de ingresos zona rural, porcentaje de mujeres con respecto al de hombres",
"Desempleo titulados educación básica secundaria","Desempleo titulados educación básica secundaria, porcentaje de mujeres con respecto al de hombres",
