pays,annee,nom,femmes,hommes
Colombia,2019,Tasa de desempleo,"13,1","8,1"
Colombia - Otras cabeceras,2019,Tasa de desempleo,"14,7","9,3"
Colombia - 13 ciudades y áreas metropolitanas ,2019,Tasa de desempleo,"12,6","9,2"
Colombia -  10 ciudades,2019,Tasa de desempleo,"16,8","11,2"
Colombia - Centros poblados y rural disperso,2019,Tasa de desempleo,"10,6","4,1"
Valledupar,2019,Tasa de desempleo,"19,9","12,3"
Sincelejo,2019,Tasa de desempleo,"15,9","8,3"
Montería,2019,Tasa de desempleo,"17,3","10,3"
Riohacha,2019,Tasa de desempleo,"18,9","11,9"
Quibdó,2019,Tasa de desempleo,"22,3","15,9"
Armenia,2019,Tasa de desempleo,"18,6","12,8"
Santa Marta,2019,Tasa de desempleo,"15,5","9,9"
Neiva,2019,Tasa de desempleo,"16,1","10,6"
Cali A.M.,2019,Tasa de desempleo,"13,6","9,3"
Medellín A.M.,2019,Tasa de desempleo,"14,8","10,6"
Cúcuta A.M.,2019,Tasa de desempleo,"18,5","14,3"
Pasto,2019,Tasa de desempleo,"12,1","7,9"
Florencia,2019,Tasa de desempleo,"18,0","13,8"
Pereira A.M.,2019,Tasa de desempleo,"10,6","6,4"
Barranquilla A.M.,2019,Tasa de desempleo,"9,8","5,8"
Cartagena,2019,Tasa de desempleo,"9,6","5,6"
Total 23 ciudades y A.M.,2019,Tasa de desempleo,"13,0","9,4"
Total 13 ciudades y A.M.,2019,Tasa de desempleo,"12,6","9,2"
Bogotá D.C.,2019,Tasa de desempleo,"11,8","8,9"
Tunja,2019,Tasa de desempleo,"12,9","10,2"
Villavicencio,2019,Tasa de desempleo,"13,8","11,2"
Manizales A.M.,2019,Tasa de desempleo,"11,0","9,2"
Bucaramanga A.M.,2019,Tasa de desempleo,"10,8","9,0"
Popayán,2019,Tasa de desempleo,"12,9","11,1"
Ibagué,2019,Tasa de desempleo,"14,9","14,9"
Valledupar,2019,Tasa de ocupación,"44,8","60,6"
Sincelejo,2019,Tasa de ocupación,"50,3","69,6"
Montería,2019,Tasa de ocupación,"43,0","63,5"
Riohacha,2019,Tasa de ocupación,"43,7","60,6"
Quibdó,2019,Tasa de ocupación,"37,0 ","53,7"
Armenia,2019,Tasa de ocupación,"44,6 ","63,0"
Santa Marta,2019,Tasa de ocupación,"41,4","62,7"
Neiva,2019,Tasa de ocupación,"46,4 ","63,0"
Cali A.M.,2019,Tasa de ocupación,"53,2","68,7"
Medellín A.M.,2019,Tasa de ocupación,"47,7","66,6"
Cúcuta A.M.,2019,Tasa de ocupación,"42,3","60,8"
Pasto,2019,Tasa de ocupación,"54,0","67,7"
Florencia,2019,Tasa de ocupación,"42,5 ","59,9"
Pereira A.M.,2019,Tasa de ocupación,"46,0","70,0"
Barranquilla A.M.,2019,Tasa de ocupación,"50,9","68,9"
Cartagena,2019,Tasa de ocupación,"41,3 ","64,7"
Total 23 ciudades y A.M.,2019,Tasa de ocupación,"50,8","66,9"
Total 13 ciudades y A.M.,2019,Tasa de ocupación,"51,5","67,5"
Bogotá D.C.,2019,Tasa de ocupación,"56,6","68,9"
Tunja,2019,Tasa de ocupación,"51,0","59,4 "
Villavicencio,2019,Tasa de ocupación,"49,4","65,5"
Manizales A.M.,2019,Tasa de ocupación,"43,6 ","63,3"
Bucaramanga A.M.,2019,Tasa de ocupación,"52,4","67,9"
Popayán,2019,Tasa de ocupación,"42,3","58,7"
Ibagué,2019,Tasa de ocupación,"46,9 ","59,9 "
