pays,annee,nom,value
Colombia,2017,"Almacenamiento y actividades complementarias al transporte, porcentaje de mujeres","33,1"
Colombia,2017,"Correo y servicios de mensajería, porcentaje de mujeres","30,6"
Colombia,2017,"Alojamiento, porcentaje de mujeres","49,8"
Colombia,2017,"Restaurantes, catering y bares, porcentaje de mujeres","58,6"
Colombia,2017,"Actividades de edición, porcentaje de mujeres","48,2"
Colombia,2017,"Producción de películas cinematográficas, porcentaje de mujeres","53,5"
Colombia,2017,"Actividades de programación y trasmisión de televisión, porcentaje de mujeres","36,8"
Colombia,2017,"Telecomunicaciones, porcentaje de mujeres","35,8"
Colombia,2017,"Desarrollo de sistemas informáticos y procesamiento de datos, porcentaje de mujeres","40,9"
Colombia,2017,"Actividades inmobiliarias y alquileres sin operario, porcentaje de mujeres","39,8"
Colombia,2017,"Actividades profesionales, científicas y técnicas, porcentaje de mujeres","41,6"
Colombia,2017,"Publicidad, porcentaje de mujeres","51,6"
Colombia,2017,"Agencias de Viaje, porcentaje de mujeres","59,9"
Colombia,2017,"Actividades de empleo, seguridad e investigación privada, servicios a edificios, porcentaje de mujeres","41,5"
Colombia,2017,"Actividades administrativas y de apoyo a oficina y otras actividades de apoyo a las empresas, porcentaje de mujeres","54,7"
Colombia,2017,"Educación superior privada, porcentaje de mujeres","50,9"
Colombia,2017,"Salud humana, porcentaje de mujeres","72,0"
Colombia,2017,"Juegos de azar, actividades deportivas, recreativas y esparcimiento, porcentaje de mujeres","65,1"
Colombia,2017,"Otras actividades de servicios, porcentaje de mujeres","51,1"
