pays,annee,nom,femmes,hommes
Colombia,2013,"Ocupados con déficit de tiempo, porcentaje de mujeres con respecto al de hombres","54,9","37,1"
Colombia,2013,"Pobres de ingresos, porcentaje de mujeres con respecto al de hombres","34,0","31,7"
Colombia,2013,"Pobres de tiempo, porcentaje de mujeres con respecto al de hombres","19,1","18,9"
Colombia,2013,"Pobre tiempo e ingresos (LIMTIP), porcentaje de mujeres con respecto al de hombres","36,6","34,4"
Colombia,2013,"Pobre ocultos, porcentaje de mujeres con respecto al de hombres","2,5","2,7"
Colombia,2013,"Pobres de ingresos zona urbana, porcentaje de mujeres con respecto al de hombres","31,4","29,5"
Colombia,2013,"Pobres de tiempo zona urbana, porcentaje de mujeres con respecto al de hombres","19,2","18,5"
Colombia,2013,"Pobre tiempo e ingresos zona urbana (LIMTIP), porcentaje de mujeres con respecto al de hombres","33,5","31,6"
Colombia,2013,"Pobre ocultos zona urbana, porcentaje de mujeres con respecto al de hombres","2,0","2,0"
Colombia,2013,"Pobres de ingresos zona rural, porcentaje de mujeres con respecto al de hombres","43,1","38,3"
Colombia,2013,"Pobres de tiempo zona rural, porcentaje de mujeres con respecto al de hombres","18,6","20,3"
Colombia,2013,"Pobre tiempo e ingresos zona rural (LIMTIP), porcentaje de mujeres con respecto al de hombres","47,9","43,0"
Colombia,2013,"Pobre ocultos zona rural, porcentaje de mujeres con respecto al de hombres","4,9","4,7"
Colombia,2013,"Pobres de ingresos, ocupados, porcentaje de mujeres con respecto al de hombres","19,3","23,1"
Colombia,2013,"Pobres de tiempo, ocupados, porcentaje de mujeres con respecto al de hombres","53,7"," 35,5"
Colombia,2013,"Pobre tiempo e ingresos, ocupados, porcentaje de mujeres con respecto al de hombres","22,4"," 25,7"
Colombia,2013,"Pobre ocultos, ocupados, porcentaje de mujeres con respecto al de hombres","3,1","2,6"
Colombia,2013,"Pobres de ingresos, desocupados, porcentaje de mujeres con respecto al de hombres","40,8","41,5"
Colombia,2013,"Pobre tiempo e ingresos, desocupados, porcentaje de mujeres con respecto al de hombres","43,2","44,3"
Colombia,2013,"Pobre ocultos, desocupados, porcentaje de mujeres con respecto al de hombres","2,4","2,8"
