pays,annee,nom,femmes,hommes
Colombia,2018,Tiempo total promedio de trabajo,"63,7","54,5"
Colombia,2018,Trabajo remunerado,"39,6","47,7"
Colombia,2018,Oficios del hogar y actividades de cuidado,"25,7","10,6"
Colombia,2017,Tiempo total promedio de trabajo,"64,1","54,9"
Colombia,2017,Trabajo remunerado,"39,5","47,8"
Colombia,2017,Oficios del hogar y actividades de cuidado,"26,3","11,1"
Colombia,2016,Tiempo total promedio de trabajo,"64,2","55,2"
Colombia,2016,Trabajo remunerado,"39,5","48,2"
Colombia,2016,Oficios del hogar y actividades de cuidado,"26,3","11,1"
Colombia,2015,Tiempo total promedio de trabajo,"64,3","54,9"
Colombia,2015,Trabajo remunerado,"39,6","48,2"
Colombia,2015,Oficios del hogar y actividades de cuidado,"26,5","11,0"
Colombia,2014,Tiempo total promedio de trabajo,"63,8","55,1"
Colombia,2014,Trabajo remunerado,"39,8","48,4"
Colombia,2014,Oficios del hogar y actividades de cuidado,"26,0","11,0"
Colombia,2013,Tiempo total promedio de trabajo,"64,5","55,4"
Colombia,2013,Trabajo remunerado,"39,6","48,8"
Colombia,2013,Oficios del hogar y actividades de cuidado,"26,9","11,2"
Colombia,2012,Tiempo total promedio de trabajo,"64,6","55,2"
Colombia,2012,Trabajo remunerado,"39,8","48,8"
Colombia,2012,Oficios del hogar y actividades de cuidado,"26,7","10,8"
Colombia,2011,Tiempo total promedio de trabajo,"64,7","55,2"
Colombia,2011,Trabajo remunerado,"40,3","49,1"
Colombia,2011,Oficios del hogar y actividades de cuidado,"26,4","10,6"
Colombia,2010,Tiempo total promedio de trabajo,"65,7","55,5"
Colombia,2010,Trabajo remunerado,"40,9","49,4"
Colombia,2010,Oficios del hogar y actividades de cuidado,"27,0","11,0"
Colombia,2009,Tiempo total promedio de trabajo,"65,8","55,1"
Colombia,2009,Trabajo remunerado,"41,2","49,5"
Colombia,2009,Oficios del hogar y actividades de cuidado,"27,0","11,1"
