pays,annee,nom,hommes,femmes
Región Atlántica,2017,Trabajo Doméstico y de Cuidados No Remunerado - Suministro de alimentos,"16,17","73,46"
Región  Central,2017,Trabajo Doméstico y de Cuidados No Remunerado - Suministro de alimentos,"23,15","76,19"
Región Oriental,2017,Trabajo Doméstico y de Cuidados No Remunerado - Suministro de alimentos,"29,20","74,88"
Región Pacífica,2017,Trabajo Doméstico y de Cuidados No Remunerado - Suministro de alimentos,"26,07","74,93"
Región Bogotá,2017,Trabajo Doméstico y de Cuidados No Remunerado - Suministro de alimentos,"32,90","71,85"
Región San Andrés,2017,Trabajo Doméstico y de Cuidados No Remunerado - Suministro de alimentos,"19,79","63,00"
Región Atlántica,2017,Trabajo Doméstico y de Cuidados No Remunerado - Mantenimiento de vestuario,"4,51","31,03"
Región  Central,2017,Trabajo Doméstico y de Cuidados No Remunerado - Mantenimiento de vestuario,"8,36","44,75"
Región Oriental,2017,Trabajo Doméstico y de Cuidados No Remunerado - Mantenimiento de vestuario,"11,46","39,30"
Región Pacífica,2017,Trabajo Doméstico y de Cuidados No Remunerado - Mantenimiento de vestuario,"14,52","44,89"
Región Bogotá,2017,Trabajo Doméstico y de Cuidados No Remunerado - Mantenimiento de vestuario,"7,91","28,20"
Región San Andrés,2017,Trabajo Doméstico y de Cuidados No Remunerado - Mantenimiento de vestuario,"6,19","15,18"
Región Atlántica,2017,Trabajo Doméstico y de Cuidados No Remunerado - Limpieza y mantenimiento del hogar,"28,84","67,39"
Región  Central,2017,Trabajo Doméstico y de Cuidados No Remunerado - Limpieza y mantenimiento del hogar,"29,01","70,81"
Región Oriental,2017,Trabajo Doméstico y de Cuidados No Remunerado - Limpieza y mantenimiento del hogar,"36,95","67,82"
Región Pacífica,2017,Trabajo Doméstico y de Cuidados No Remunerado - Limpieza y mantenimiento del hogar,"36,51","70,20"
Región Bogotá,2017,Trabajo Doméstico y de Cuidados No Remunerado - Limpieza y mantenimiento del hogar,"42,46","67,78"
Región San Andrés,2017,Trabajo Doméstico y de Cuidados No Remunerado - Limpieza y mantenimiento del hogar,"28,86","64,00"
Región Atlántica,2017,Trabajo Doméstico y de Cuidados No Remunerado - Compras y administración del hogar,"23,52","27,62"
Región  Central,2017,Trabajo Doméstico y de Cuidados No Remunerado - Compras y administración del hogar,"17,80","19,96"
Región Oriental,2017,Trabajo Doméstico y de Cuidados No Remunerado - Compras y administración del hogar,"20,02","22,86"
Región Pacífica,2017,Trabajo Doméstico y de Cuidados No Remunerado - Compras y administración del hogar,"24,24","25,13"
Región Bogotá,2017,Trabajo Doméstico y de Cuidados No Remunerado - Compras y administración del hogar,"19,76","23,89"
Región San Andrés,2017,Trabajo Doméstico y de Cuidados No Remunerado - Compras y administración del hogar,"29,50","13,05"
Región Atlántica,2017,Trabajo Doméstico y de Cuidados No Remunerado - Cuidado y apoyo de personas,"16,94","33,01"
Región  Central,2017,Trabajo Doméstico y de Cuidados No Remunerado - Cuidado y apoyo de personas,"12,27","26,72"
Región Oriental,2017,Trabajo Doméstico y de Cuidados No Remunerado - Cuidado y apoyo de personas,"16,13","31,08"
Región Pacífica,2017,Trabajo Doméstico y de Cuidados No Remunerado - Cuidado y apoyo de personas,"15,72","30,04"
Región Bogotá,2017,Trabajo Doméstico y de Cuidados No Remunerado - Cuidado y apoyo de personas,"10,93","24,03"
Región San Andrés,2017,Trabajo Doméstico y de Cuidados No Remunerado - Cuidado y apoyo de personas,"16,78","22,95"
Región Atlántica,2017,Trabajo Doméstico y de Cuidados No Remunerado - Voluntariado,"1,44","3,04"
Región  Central,2017,Trabajo Doméstico y de Cuidados No Remunerado - Voluntariado,"0,96","1,81"
Región Oriental,2017,Trabajo Doméstico y de Cuidados No Remunerado - Voluntariado,"1,08","2,71"
Región Pacífica,2017,Trabajo Doméstico y de Cuidados No Remunerado - Voluntariado,"1,28","2,69"
Región Bogotá,2017,Trabajo Doméstico y de Cuidados No Remunerado - Voluntariado,"0,75","1,03"
Región San Andrés,2017,Trabajo Doméstico y de Cuidados No Remunerado - Voluntariado,"0,19","0,95"
Región Atlántica,2017,Trabajo Doméstico y de Cuidados No Remunerado,"55,34","88,92"
Región  Central,2017,Trabajo Doméstico y de Cuidados No Remunerado,"53,37","88,65"
Región Oriental,2017,Trabajo Doméstico y de Cuidados No Remunerado,"61,06","88,54"
Región Pacífica,2017,Trabajo Doméstico y de Cuidados No Remunerado,"61,70","89,20"
Región Bogotá,2017,Trabajo Doméstico y de Cuidados No Remunerado,"63,51","87,00"
Región San Andrés,2017,Trabajo Doméstico y de Cuidados No Remunerado,"63,65","86,84"
